# word|category|difficulty
# Single-word entries only. Difficulties: easy, medium, hard.
כלב|בעלי חיים|easy
חתול|בעלי חיים|easy
אריה|בעלי חיים|easy
פיל|בעלי חיים|easy
סוס|בעלי חיים|easy
כבשה|בעלי חיים|easy
עגל|בעלי חיים|easy
חמור|בעלי חיים|easy
עז|בעלי חיים|easy
פרה|בעלי חיים|easy
תרנגול|בעלי חיים|easy
תרנגולת|בעלי חיים|easy
ברווז|בעלי חיים|easy
אווז|בעלי חיים|easy
יונה|בעלי חיים|easy
דג|בעלי חיים|easy
דולפין|בעלי חיים|easy
לוויתן|בעלי חיים|easy
צב|בעלי חיים|easy
ארנב|בעלי חיים|easy
שפן|בעלי חיים|easy
עכבר|בעלי חיים|easy
חולד|בעלי חיים|easy
קוף|בעלי חיים|easy
דוב|בעלי חיים|easy
זאב|בעלי חיים|easy
שועל|בעלי חיים|easy
נמר|בעלי חיים|easy
זברה|בעלי חיים|easy
גירפה|בעלי חיים|easy
קרנף|בעלי חיים|easy
היפופוטם|בעלי חיים|easy
תנין|בעלי חיים|easy
נשר|בעלי חיים|easy
ינשוף|בעלי חיים|easy
עורב|בעלי חיים|easy
נץ|בעלי חיים|easy
סנאי|בעלי חיים|easy
קיפוד|בעלי חיים|easy
חפרפרת|בעלי חיים|easy
זיקית|בעלי חיים|medium
לטאה|בעלי חיים|medium
איגואנה|בעלי חיים|medium
פיתון|בעלי חיים|medium
אנקונדה|בעלי חיים|medium
צפע|בעלי חיים|medium
צפעון|בעלי חיים|medium
נמיה|בעלי חיים|medium
גחן|בעלי חיים|medium
חמוס|בעלי חיים|medium
גירית|בעלי חיים|medium
בואש|בעלי חיים|medium
ראקון|בעלי חיים|medium
לוטרה|בעלי חיים|medium
דינגו|בעלי חיים|medium
צבוע|בעלי חיים|medium
אייל|בעלי חיים|medium
צבי|בעלי חיים|medium
יעל|בעלי חיים|medium
אנטילופה|בעלי חיים|medium
באפלו|בעלי חיים|medium
ביזון|בעלי חיים|medium
טיגריס|בעלי חיים|medium
פומה|בעלי חיים|medium
ברדלס|בעלי חיים|medium
קרקל|בעלי חיים|medium
שקנאי|בעלי חיים|medium
חסידה|בעלי חיים|medium
פלמינגו|בעלי חיים|medium
קורמורן|בעלי חיים|medium
תוכי|בעלי חיים|medium
דרור|בעלי חיים|medium
שחף|בעלי חיים|medium
לוכד|בעלי חיים|medium
פרפר|בעלי חיים|medium
דבורה|בעלי חיים|medium
צרעה|בעלי חיים|medium
חגב|בעלי חיים|medium
גמלשלמה|בעלי חיים|medium
יתוש|בעלי חיים|medium
זבוב|בעלי חיים|medium
חיפושית|בעלי חיים|medium
עקרב|בעלי חיים|medium
עכביש|בעלי חיים|medium
סרטן|בעלי חיים|medium
מדוזה|בעלי חיים|medium
דיונון|בעלי חיים|medium
תמנון|בעלי חיים|medium
כריש|בעלי חיים|medium
למור|בעלי חיים|hard
אורנגוטן|בעלי חיים|hard
גורילה|בעלי חיים|hard
בבון|בעלי חיים|hard
שימפנזה|בעלי חיים|hard
טפיר|בעלי חיים|hard
קואלה|בעלי חיים|hard
קנגורו|בעלי חיים|hard
וומבט|בעלי חיים|hard
פלטיפוס|בעלי חיים|hard
ארמדיל|בעלי חיים|hard
סלמנדרה|בעלי חיים|hard
אקולוטל|בעלי חיים|hard
טריטון|בעלי חיים|hard
סייפן|בעלי חיים|hard
לוקוס|בעלי חיים|hard
קיפודן|בעלי חיים|hard
חסילון|בעלי חיים|hard
אצותן|בעלי חיים|hard
גופרן|בעלי חיים|hard

לחם|אוכל|easy
חלב|אוכל|easy
ביצה|אוכל|easy
גבינה|אוכל|easy
חמאה|אוכל|easy
יוגורט|אוכל|easy
דבש|אוכל|easy
סוכר|אוכל|easy
מלח|אוכל|easy
מים|אוכל|easy
תה|אוכל|easy
קפה|אוכל|easy
מיץ|אוכל|easy
תפוח|אוכל|easy
אגס|אוכל|easy
בננה|אוכל|easy
תפוז|אוכל|easy
אבטיח|אוכל|easy
מלון|אוכל|easy
ענבים|אוכל|easy
תות|אוכל|easy
שזיף|אוכל|easy
דובדבן|אוכל|easy
אפרסק|אוכל|easy
נקטרינה|אוכל|easy
רימון|אוכל|easy
קיווי|אוכל|easy
מנגו|אוכל|easy
אננס|אוכל|easy
לימון|אוכל|easy
אשכולית|אוכל|easy
מלפפון|אוכל|easy
עגבניה|אוכל|easy
גזר|אוכל|easy
בצל|אוכל|easy
שום|אוכל|easy
חסה|אוכל|easy
כרוב|אוכל|easy
סלק|אוכל|easy
תירס|אוכל|easy
אפונה|אוכל|easy
שעועית|אוכל|easy
אורז|אוכל|easy
פסטה|אוכל|easy
פתיתים|אוכל|easy
קוסקוס|אוכל|easy
פיתה|אוכל|easy
לחמניה|אוכל|easy
בייגל|אוכל|easy
קרקר|אוכל|easy
ביסקוויט|אוכל|easy
עוגה|אוכל|easy
עוגיה|אוכל|easy
גלידה|אוכל|easy
שוקולד|אוכל|easy
מרק|אוכל|easy
סלט|אוכל|easy
פלאפל|אוכל|easy
חומוס|אוכל|easy
טחינה|אוכל|easy
שווארמה|אוכל|medium
שניצל|אוכל|medium
קבב|אוכל|medium
קציצה|אוכל|medium
נקניק|אוכל|medium
נקניקיה|אוכל|medium
סטייק|אוכל|medium
דגסלמון|אוכל|medium
טונה|אוכל|medium
סרדין|אוכל|medium
אנשובי|אוכל|medium
פסטו|אוכל|medium
רוטב|אוכל|medium
תבלין|אוכל|medium
כמון|אוכל|medium
כורכום|אוכל|medium
פפריקה|אוכל|medium
שומשום|אוכל|medium
קינמון|אוכל|medium
וניל|אוכל|medium
קקאו|אוכל|medium
קרמל|אוכל|medium
ריבה|אוכל|medium
ממרח|אוכל|medium
מיונז|אוכל|medium
קטשופ|אוכל|medium
חרדל|אוכל|medium
מלפפוןחמוץ|אוכל|medium
זית|אוכל|medium
אבוקדו|אוכל|medium
פטריה|אוכל|medium
ארטישוק|אוכל|medium
חציל|אוכל|medium
דלעת|אוכל|medium
קישוא|אוכל|medium
כרובית|אוכל|medium
ברוקולי|אוכל|medium
אספרגוס|אוכל|medium
חומוסיה|אוכל|medium
בורקס|אוכל|medium
סמבוסק|אוכל|medium
פנקייק|אוכל|medium
וופל|אוכל|medium
קרואסון|אוכל|medium
בייגלה|אוכל|medium
במיה|אוכל|medium
קובה|אוכל|medium
סושי|אוכל|hard
סשימי|אוכל|hard
טירמיסו|אוכל|hard
מוס|אוכל|hard
פונדו|אוכל|hard
ראמן|אוכל|hard
גיוזה|אוכל|hard
טמפורה|אוכל|hard
ריזוטו|אוכל|hard
ניוקי|אוכל|hard
קנלוני|אוכל|hard
פוקצצה|אוכל|hard
ברוסקטה|אוכל|hard
קונפי|אוכל|hard
קרמבו|אוכל|hard
פחזניה|אוכל|hard
מקרון|אוכל|hard
פרלינה|אוכל|hard
מרציפן|אוכל|hard
קינואה|אוכל|hard

הר|טבע|easy
גבעה|טבע|easy
עמק|טבע|easy
מישור|טבע|easy
חוף|טבע|easy
ים|טבע|easy
אגם|טבע|easy
נהר|טבע|easy
נחל|טבע|easy
מעיין|טבע|easy
יער|טבע|easy
חורש|טבע|easy
שדה|טבע|easy
מדבר|טבע|easy
אדמה|טבע|easy
חול|טבע|easy
סלע|טבע|easy
אבן|טבע|easy
מערה|טבע|easy
אי|טבע|easy
חצי|טבע|easy
שמש|טבע|easy
ירח|טבע|easy
כוכב|טבע|easy
שמיים|טבע|easy
ענן|טבע|easy
גשם|טבע|easy
שלג|טבע|easy
ברד|טבע|easy
רוח|טבע|easy
סערה|טבע|easy
קשת|טבע|easy
פרח|טבע|easy
עלה|טבע|easy
שורש|טבע|easy
ענף|טבע|easy
גזע|טבע|easy
דשא|טבע|easy
עשב|טבע|easy
קוץ|טבע|easy
טחב|טבע|easy
אלון|טבע|medium
אורן|טבע|medium
ברוש|טבע|medium
זית|טבע|medium
דקל|טבע|medium
שקד|טבע|medium
תאנה|טבע|medium
רימון|טבע|medium
גפן|טבע|medium
זיתון|טבע|medium
שיטה|טבע|medium
אקליפטוס|טבע|medium
אגסבר|טבע|medium
שקדיה|טבע|medium
פרדס|טבע|medium
ערבה|טבע|medium
חרוב|טבע|medium
אצה|טבע|medium
אלמוג|טבע|medium
סחף|טבע|medium
דיונה|טבע|medium
מצוק|טבע|medium
מכתש|טבע|medium
קניון|טבע|medium
מערבולת|טבע|medium
גייזר|טבע|medium
קרחון|טבע|medium
מפל|טבע|medium
זרם|טבע|medium
קרקע|טבע|medium
טין|טבע|medium
ביצה|טבע|medium
שונית|טבע|medium
לבה|טבע|medium
גופרית|טבע|medium
בזלת|טבע|medium
גרניט|טבע|medium
חמר|טבע|medium
טיט|טבע|medium
סופה|טבע|medium
טורנדו|טבע|medium
הוריקן|טבע|medium
רעידתאדמה|טבע|hard
מפולת|טבע|hard
צונמי|טבע|hard
מונסון|טבע|hard
ברק|טבע|hard
רעם|טבע|hard
ליקוי|טבע|hard
אופק|טבע|hard
קוטב|טבע|hard
קווי|טבע|hard
אטמוספרה|טבע|hard
שכבה|טבע|hard
אקלים|טבע|hard
ביוספרה|טבע|hard
אקולוגיה|טבע|hard
טופוגרפיה|טבע|hard
שפל|טבע|hard
גאות|טבע|hard
שפלות|טבע|hard
מערכת|טבע|hard

כוס|חפצים|easy
כף|חפצים|easy
מזלג|חפצים|easy
סכין|חפצים|easy
צלחת|חפצים|easy
קערה|חפצים|easy
ספל|חפצים|easy
בקבוק|חפצים|easy
קופסה|חפצים|easy
שקית|חפצים|easy
עט|חפצים|easy
עיפרון|חפצים|easy
מחק|חפצים|easy
ספר|חפצים|easy
מחברת|חפצים|easy
דף|חפצים|easy
תיק|חפצים|easy
ארנק|חפצים|easy
מפתח|חפצים|easy
מנעול|חפצים|easy
שעון|חפצים|easy
משקפיים|חפצים|easy
טלפון|חפצים|easy
מחשב|חפצים|easy
מסך|חפצים|easy
מקלדת|חפצים|easy
עכבר|חפצים|easy
מטען|חפצים|easy
אוזניות|חפצים|easy
מברשת|חפצים|easy
מראה|חפצים|easy
מגבת|חפצים|easy
סבון|חפצים|easy
שמפו|חפצים|easy
משחתשיניים|חפצים|easy
מברשתשיניים|חפצים|easy
סככה|חפצים|easy
נר|חפצים|easy
מצית|חפצים|easy
פנס|חפצים|easy
סולם|חפצים|easy
כיסא|חפצים|easy
שולחן|חפצים|easy
ספה|חפצים|easy
כרית|חפצים|easy
שמיכה|חפצים|easy
מיטה|חפצים|easy
ארון|חפצים|easy
מדף|חפצים|easy
וו|חפצים|easy
מתלה|חפצים|easy
מספריים|חפצים|easy
דבק|חפצים|easy
סרטמדביק|חפצים|easy
חוט|חפצים|easy
מחט|חפצים|easy
כפתור|חפצים|easy
סיכה|חפצים|easy
פצירה|חפצים|medium
מסרק|חפצים|medium
פינצטה|חפצים|medium
מגב|חפצים|medium
דלי|חפצים|medium
סמרטוט|חפצים|medium
שואב|חפצים|medium
מיקרוגל|חפצים|medium
קומקום|חפצים|medium
טוסטר|חפצים|medium
בלנדר|חפצים|medium
מיקסר|חפצים|medium
מחבת|חפצים|medium
סיר|חפצים|medium
מכסה|חפצים|medium
קולפן|חפצים|medium
פותחן|חפצים|medium
מגרדת|חפצים|medium
משקל|חפצים|medium
מכשיר|חפצים|medium
מדחום|חפצים|medium
צידנית|חפצים|medium
קלמר|חפצים|medium
מחשבון|חפצים|medium
מדפסת|חפצים|medium
סורק|חפצים|medium
פח|חפצים|medium
מפית|חפצים|medium
קיסם|חפצים|medium
מחזיק|חפצים|medium
מחברתשדה|חפצים|medium
מצלמה|חפצים|medium
רחפן|חפצים|medium
מטעןנייד|חפצים|medium
רמקול|חפצים|medium
מיקרופון|חפצים|medium
מקליט|חפצים|medium
מגפון|חפצים|medium
סוללה|חפצים|medium
מתאם|חפצים|medium
כבל|חפצים|medium
כונן|חפצים|medium
דיסק|חפצים|medium
קלסר|חפצים|medium
פנקס|חפצים|medium
מחברתציור|חפצים|medium
מחוגה|חפצים|medium
סרגל|חפצים|medium
שבלונה|חפצים|hard
מקדחה|חפצים|hard
מברגה|חפצים|hard
מסור|חפצים|hard
משחזת|חפצים|hard
מלחציים|חפצים|hard
פלס|חפצים|hard
פצירהברזל|חפצים|hard
קתוד|חפצים|hard
נתיך|חפצים|hard
פיוז|חפצים|hard
התקן|חפצים|hard
מחבר|חפצים|hard
מחסנית|חפצים|hard
אטב|חפצים|hard
קליפס|חפצים|hard
חיישן|חפצים|hard
מודול|חפצים|hard
סולנואיד|חפצים|hard
ממסר|חפצים|hard

בית|מקומות|easy
רחוב|מקומות|easy
סמטה|מקומות|easy
כיכר|מקומות|easy
פארק|מקומות|easy
גן|מקומות|easy
שוק|מקומות|easy
חנות|מקומות|easy
קניון|מקומות|easy
מכולת|מקומות|easy
ספריה|מקומות|easy
כיתה|מקומות|easy
אולם|מקומות|easy
אצטדיון|מקומות|easy
מגרש|מקומות|easy
חוף|מקומות|easy
בריכה|מקומות|easy
תחנה|מקומות|easy
נמל|מקומות|easy
מוזיאון|מקומות|easy
תיאטרון|מקומות|easy
קולנוע|מקומות|easy
מסעדה|מקומות|easy
ביתקפה|מקומות|easy
מלון|מקומות|easy
אכסניה|מקומות|easy
ביתחולים|מקומות|easy
מרפאה|מקומות|easy
ביתמרקחת|מקומות|easy
בנק|מקומות|easy
דואר|מקומות|easy
תחנתמשטרה|מקומות|easy
תחנתכיבוי|מקומות|easy
ביתמשפט|מקומות|easy
עיריה|מקומות|easy
כנסיה|מקומות|easy
מסגד|מקומות|easy
ביתכנסת|מקומות|easy
מערה|מקומות|easy
יער|מקומות|easy
מדבר|מקומות|easy
שדה|מקומות|easy
עמק|מקומות|easy
הר|מקומות|easy
אי|מקומות|easy
אגם|מקומות|easy
נהר|מקומות|easy
נחל|מקומות|easy
תחנתרכבת|מקומות|easy
תחנתאוטובוס|מקומות|easy
שדהתעופה|מקומות|easy
גשר|מקומות|easy
מנהרה|מקומות|easy
מצודה|מקומות|medium
מבצר|מקומות|medium
מגדל|מקומות|medium
ארמון|מקומות|medium
טירה|מקומות|medium
מנזר|מקומות|medium
אוניברסיטה|מקומות|medium
מכללה|מקומות|medium
מעבדה|מקומות|medium
גלריה|מקומות|medium
ביתספר|מקומות|medium
אודיטוריום|מקומות|medium
אולםספורט|מקומות|medium
היכל|מקומות|medium
מכון|מקומות|medium
משרד|מקומות|medium
מפעל|מקומות|medium
מחסן|מקומות|medium
נמליכלי|מקומות|medium
תחנתדלק|מקומות|medium
מאגר|מקומות|medium
מצפה|מקומות|medium
שמורה|מקומות|medium
שמורתטבע|מקומות|medium
חקלאות|מקומות|medium
פרדס|מקומות|medium
כרם|מקומות|medium
בוסתן|מקומות|medium
מתחם|מקומות|medium
מדרחוב|מקומות|medium
שכונה|מקומות|medium
פרבר|מקומות|medium
מרכז|מקומות|medium
שוקסיטונאי|מקומות|medium
מסוף|מקומות|medium
תחנתמעבר|מקומות|medium
כפר|מקומות|medium
קיבוץ|מקומות|medium
מושב|מקומות|medium
מגורים|מקומות|medium
